tennis	테니스	-	
club	동아리	-	
many	많이	-	
school	학교	-	
I have no; there is no; doesn't have; there is not any; isn't; never; has no	없다	-	
major	전공	-	
homework	숙제	-	
class	수업	-	
time	시간	-	
boyfriend	남자 친구	-	
playground	운동장	-	
date	데이트	-	
convenience store	편의점	-	
washing machine	세탁기	-	
dormitory	기숙사	-	
again	또	-	
very much; ugly; very	별로	-	
clothes	옷	-	
hat	모자	-	
department store	백화점	-	
especially	특별히	-	
briefly	간단히	-	
mingling	어울리다	-	
well	잘	-	
kindly	친절히	-	
pants	바지	-	
bed	침대	-	
table	테이블	-	
usually	보통	-	
laptop	노트북	-	
immediately	바로	-	
definitely	꼭	-	
too	너무	-	
comfortable	편하게	-	
hot	덥다	-	
drive	운전하다	-	
giving; gives; presents; present; given; give	주다	-	
grandfather	할아버지	-	
swimming pool	수영장	-	
clean	깨끗이	-	
soap	비누	-	
first	먼저	-	
put; add; loading	넣다	-	
shut; close; closed	닫다	-	
key	열쇠	-	
door	문	-	
walking; walk; rolling	걷다	-	
slowly	천천히	-	
here	이쪽	-	
warm	따뜻하게	-	
sent	보내다	-	
address	주소	-	
company	회사	-	
message	메시지	-	
with; as; toward; to; by; via	로	-	
Shoot	찍다	-	
name	이름	-	
photo	사진	-	
with; toward; to; by	으로	-	
Ascend	올라가다	-	
manager	부장님	-	
office	사무실	-	
up	위	-	
outside	밖	-	
three	삼	-	
right	오른쪽	-	
floor	층	-	
confirm; check; checking	확인하다	-	
Thank you for your work!	수고하셨습니다	-	
document	서류	-	
there	저쪽	-	
grandmother	할머니	-	
week	주	-	
next	다음	-	
when	언제	-	
Chuseok	추석	-	
home	댁	-	
get; gets; receive; receiving; got; received; receives; gotten	받다	-	
hanbok	한복	-	
older sister	언니	-	
day	날	-	
makes; making	만들다	-	
market	시장	-	
rice cake	떡	-	
Wednesday	수요일	-	
too late	늦었어요	-	
yutnori	윷놀이	-	
train	기차	-	
night	밤	-	
month	달	-	
birthday	생신	-	
March	삼월	-	
correcting; fixes; fix; corrects	고치다	-	
who	누가	-	
oppa	오빠	-	
wrap	포장하다	-	
kimbap	김밥	-	
pickled radish	단무지	-	
to draw; paints	그리다	-	
picture	그림	-	
who	누구	-	
dry	닦다	-	
chalkboard	칠판	-	
fan	선풍기	-	
floor	바닥	-	
break	고장났어요	-	
classroom	교실	-	
unlock; unlocks	열다	-	
novel	소설책	-	
science	과학	-	
drink; drinks; drunk; drinking	마시다	-	
milk	우유	-	
son	아들	-	
don't	안	-	
then	그러면	-	
blue	파란색	-	
skirt	치마	-	
dress shoes	구두	-	
flashes; play	치다	-	
can't; I can't; have not; you can't; not be able; I cannot; didn't; cannot; can not; can’t	못	-	
park	공원	-	
picnic	소풍	-	
baby	아기	-	
text	글	-	
still	아직	-	
quietly	조용히	-	
drum	드럼	-	
